"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"marker1"	"OTU_241 Bacteria Firmicutes Clostridia Clostridia UCG-014 NA NA NA"	"Да"	3.15729231833531	0.0208040823335476	0.0208040823335476
"marker2"	"OTU_187 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA NA"	"Да"	2.87765512295295	0.0322188510301471	0.0322188510301471
"marker3"	"OTU_417 Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae NA NA"	"Да"	2.75241078565976	0.0261945174538933	0.0261945174538933
"marker4"	"OTU_197 Bacteria Firmicutes Clostridia Oscillospirales [Eubacterium] coprostanoligenes group NA NA"	"Да"	2.47504495955695	0.0378090638594676	0.0378090638594676
"marker5"	"OTU_609 Bacteria Firmicutes Bacilli RF39 NA NA NA"	"Да"	2.33026446120006	0.0354831620966169	0.0354831620966169
"marker6"	"OTU_587 Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae NA NA"	"Да"	2.29292017261515	0.033539350348733	0.033539350348733
"marker7"	"OTU_529 Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family XIII AD3011 group NA"	"Да"	2.10213892595428	0.033539350348733	0.033539350348733
"marker8"	"OTU_439 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium NA"	"Да"	2.07442230420029	0.024871130646736	0.024871130646736
"marker9"	"OTU_79 Bacteria Firmicutes Clostridia Oscillospirales Butyricicoccaceae Butyricicoccus faecihominis"	"Нет"	3.21472325361187	0.007669376709413	0.007669376709413
"marker10"	"OTU_195 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Ruminococcus champanellensis"	"Нет"	2.96380425250593	0.0412162619583348	0.0412162619583348
"marker11"	"OTU_77 Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Intestinibacter bartlettii"	"Нет"	2.81604575171264	0.0396364152006669	0.0396364152006669
"marker12"	"OTU_402 Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family XIII AD3011 group NA"	"Нет"	2.3043522766937	0.0338899418597294	0.0338899418597294
"marker13"	"OTU_420 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Sellimonas NA"	"Нет"	2.24060963172005	0.01669068289372	0.01669068289372
"marker14"	"OTU_399 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Eisenbergiella tayi"	"Нет"	2.09874262602569	0.0487989054203428	0.0487989054203428
"marker15"	"OTU_586 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lactonifactor NA"	"Нет"	2.07065677214051	0.01669068289372	0.01669068289372
